Variable_1,Variable_2,Correlation
Total_E_Billed_by_Disco,Total_E_paid_to_Disco,0.9986820545020527
Total_E_Billed_by_Disco,Distribution_constraint,0.9940504102297653
Total_E_paid_to_Disco,Distribution_constraint,0.9906341334605312
receivables,Distribution_constraint,0.9897320568757723
receivables,Total_E_Billed_by_Disco,0.9854260214626586
receivables,Total_E_paid_to_Disco,0.9838452637210813
load_variance,market_shortfall,0.9640284046527688
ATC&C,disco_collect,-0.9614808341836878
plant_age_gas,collection_loss,-0.9547111798742776
usdngn,inflation,0.9456938543172303
gas_price,plant_age_gas,0.9380806769536454
plant_age_gas,disco_collect,0.929445365108994
ATC&C,collection_loss,0.9260834077877265
plant_age_gas,ATC&C,-0.9248960611344567
collection_loss,disco_collect,-0.9069321969566126
gas_price,collection_loss,-0.8883486014595746
gas_price,nbet_ratio,0.8859364967411343
plant_age_gas,nbet_ratio,0.8840873120991701
harmattan,solar_cf,0.8805792981248282
plant_age_gas,eaf,-0.8796226554092591
gas_to_power,market_shortfall,-0.8775011011629387
collection_loss,nbet_ratio,-0.8729479439232757
usdngn,plant_age_gas,0.8568000566983581
usdngn,collection_loss,-0.855727638715879
usdngn,ATC&C,-0.8551662746414577
gas_price,eaf,-0.854012779685032
eaf,collection_loss,0.8515813237948198
dni,solar_cf,0.8477702016849711
gas_to_power,load_variance,-0.8460803733373198
disco_collect,nbet_ratio,0.841536042250851
usdngn,disco_collect,0.830420266491699
ttf_jkm,jkm_netback,0.8282181789369777
receivables,market_shortfall,0.826322340053077
domestic_alloc,market_shortfall,0.8234962117118232
market_shortfall,Distribution_constraint,0.8192503368693796
gas_price,disco_collect,0.817276615895266
usdngn,nbet_ratio,0.813696014115088
domestic_alloc,Gas_constraint,0.8040007914017063
ghi,dni,0.8012997435593131
domestic_alloc,load_variance,0.8008212597002612
ATC&C,nbet_ratio,-0.7988647041379304
inflation,Total_E_paid_to_Disco,0.7976567613822687
precip_mm,harmattan,-0.7911646275575333
inflation,Total_E_Billed_by_Disco,0.7866188866181816
inflation,nbet_ratio,0.7860260850133521
inflation,receivables,0.7852205773897029
brent,jkm_netback,0.7849898205566125
eaf,ATC&C,0.7821335218536278
gas_price,ATC&C,-0.7798013614126383
usdngn,gas_price,0.7696899949413364
eaf,disco_collect,-0.7678420173503231
usdngn,Total_E_paid_to_Disco,0.7623170073714557
Total_E_Billed_by_Disco,market_shortfall,0.7579704394380885
pipeline_down,solar_cf,0.7569887547149351
load_variance,receivables,0.7566282501862103
usdngn,Total_E_Billed_by_Disco,0.7523322432631845
ATC&C,Billing_efficiency,-0.7471409591799846
Total_E_paid_to_Disco,market_shortfall,0.7460445653967452
precip_mm,solar_cf,-0.7447854678163736
inflation,Distribution_constraint,0.7419362376211743
eaf,nbet_ratio,-0.7399071975971822
brent,ttf_jkm,0.7386856529744141
inflation,plant_age_gas,0.7370134476136475
load_variance,Distribution_constraint,0.7325219815718982
inflation,collection_loss,-0.731281280274322
dni,precip_mm,-0.7258908376496538
harmattan,pipeline_down,0.7256955984068362
gas_to_power,receivables,-0.7246027754624169
gas_to_power,Distribution_constraint,-0.7184250524642589
dni,harmattan,0.717487920017708
usdngn,receivables,0.7132620896090429
inflation,ATC&C,-0.7129567951957315
ghi,precip_mm,-0.7127265858040862
eaf,freq_collapse,0.7108517626107091
gas_to_power,domestic_alloc,-0.7104107029745
inflation,disco_collect,0.7029755304036385
