Variable,ADF_p,KPSS_p,Conclusion,Action
gas_price,0.8509,0.0181,I(1),DIFFERENCE
brent,0.1781,0.1,Ambiguous,CHECK
usdngn,0.8029,0.01,I(1),DIFFERENCE
ttf_jkm,0.0743,0.081,Ambiguous,CHECK
fx_reserves,0.3363,0.01,I(1),DIFFERENCE
jkm_netback,0.2136,0.1,Ambiguous,CHECK
ln_receivables,0.9739,0.01,I(1),DIFFERENCE
nbet_ratio,0.8554,0.01,I(1),DIFFERENCE
disco_collect,0.8986,0.0943,Ambiguous,CHECK
gas_cf,0.1709,0.01,I(1),DIFFERENCE
eaf,0.5124,0.01,I(1),DIFFERENCE
pipeline_down,0.154,0.1,Ambiguous,CHECK
vandalism_idx,0.0,0.1,I(0),LEVEL
gas_to_power,0.6805,0.01,I(1),DIFFERENCE
plant_age_gas,0.9585,0.01,I(1),DIFFERENCE
freq_collapse,0.2591,0.01,I(1),DIFFERENCE
domestic_alloc,0.2789,0.01,I(1),DIFFERENCE
solar_cf,0.0726,0.1,Ambiguous,CHECK
dni,0.1554,0.1,Ambiguous,CHECK
precip_mm,0.2507,0.0624,Ambiguous,CHECK
harmattan,0.0701,0.1,Ambiguous,CHECK
aerosol_od,0.5959,0.1,Ambiguous,CHECK
temp_c,0.4544,0.1,Ambiguous,CHECK
